person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
28,male,Bachelor,76196,3,RENT,49265,PERSONAL,14.62,0.65,19,494,No,0
23,male,High School,69314,1,MORTGAGE,40453,PERSONAL,13.23,0.58,24,782,No,0
35,female,Doctorate,84926,0,RENT,46753,VENTURE,10.58,0.55,6,560,No,0
27,male,Master,37353,5,OWN,40565,MEDICAL,16.19,1.0,25,685,Yes,0
45,male,Doctorate,88854,26,MORTGAGE,41535,MEDICAL,13.43,0.47,24,485,Yes,0
35,female,High School,73024,3,OWN,19217,VENTURE,14.13,0.26,13,533,No,0
43,male,Bachelor,30717,19,MORTGAGE,12215,HOMEIMPROVEMENT,15.25,0.4,7,686,No,1
38,male,Bachelor,26663,7,RENT,21673,VENTURE,9.71,0.81,8,740,No,0
34,female,Master,132285,4,OWN,10150,EDUCATION,15.44,0.08,19,584,No,0
58,female,Bachelor,69493,8,MORTGAGE,33343,PERSONAL,15.57,0.48,5,528,Yes,0
48,male,Master,112039,19,OWN,35676,MEDICAL,18.15,0.32,2,798,Yes,0
55,female,Bachelor,41242,18,OWN,11365,VENTURE,6.54,0.28,25,818,No,1
53,male,Doctorate,39894,19,MORTGAGE,34270,HOMEIMPROVEMENT,8.89,0.86,13,840,Yes,0
55,male,Doctorate,96975,31,RENT,8331,MEDICAL,17.04,0.09,11,572,Yes,0
36,male,High School,139399,2,MORTGAGE,9241,EDUCATION,14.42,0.07,19,534,No,0
54,female,Associate,153373,12,MORTGAGE,21428,VENTURE,18.44,0.14,22,641,No,1
54,female,High School,76986,14,RENT,23156,PERSONAL,13.56,0.3,9,751,Yes,0
21,male,High School,72015,0,RENT,22654,PERSONAL,12.67,0.31,10,792,No,1
34,male,Doctorate,163050,15,RENT,31996,VENTURE,8.78,0.2,5,787,No,1
43,female,Master,134427,23,RENT,45129,BUSINESS,18.31,0.34,5,481,No,0
42,male,Associate,62224,6,MORTGAGE,30400,EDUCATION,11.56,0.49,10,686,Yes,0
25,female,Doctorate,37666,0,MORTGAGE,36427,PERSONAL,18.13,0.97,9,535,No,0
52,female,Associate,117130,3,RENT,25836,PERSONAL,18.32,0.22,10,682,No,1
48,female,Associate,61780,9,RENT,4832,HOMEIMPROVEMENT,15.33,0.08,3,832,No,1
24,male,Doctorate,136987,4,MORTGAGE,11317,PERSONAL,18.03,0.08,4,545,Yes,0
